di suruh ke kantor cabang yang bermasalah itu setelah pembaruan kok bikin pengguna ribet	4,5 ACCOUNT_MANAGEMENT 0 6,7	9,10 APP_PERFORMANCE 0 13,14
kalau seperti begini kan menganggu transaksi pengguna	5,6 TRANSACTION_TRANSFER 0 -1,-1
biar agak lelet	-1,-1 APP_PERFORMANCE 1 2,3
semoga kedepan bisa ditingkatkan dari administrasi	5,6 FEES_CHARGES 2 -1,-1
dapat notifikasi pengajuan dana siaga melalui aplikasi pertemuan melalui telepon anda aku tanggal 29 juni	1,2 NOTIFICATION_INFO 1 -1,-1	2,3 ONBOARDING_KYC 1 -1,-1	9,10 CUSTOMER_SERVICE 1 -1,-1
transfer gratis ke semua rekening bank	0,1 TRANSACTION_TRANSFER 2 1,2
registrasi nya rumit	0,1 ONBOARDING_KYC 0 2,3
ini akun aku di nonaktifkan apa bagaimana iya tidak bisa login login	4,5 ACCOUNT_MANAGEMENT 0 -1,-1	8,11 AUTH_ACCESS 0 8,10	10,11 AUTH_ACCESS 0 -1,-1
pelayanan sangat bagus	0,1 CUSTOMER_SERVICE 2 1,3
kenapa tidak bisa transfer	3,4 TRANSACTION_TRANSFER 0 1,3
coba buka rekening melalui aplikasi ini	1,3 ONBOARDING_KYC 0 -1,-1
tidak bisa terus	-1,-1 FEATURES_PRODUCT 0 0,2
sangat memuaskan pelayanan ramah bingung	2,3 CUSTOMER_SERVICE 2 1,2
pelayanan nya bagus	0,1 CUSTOMER_SERVICE 2 2,3
trimakasih untuk pelayanan nya sangat baik dan sangat memuaskan	2,3 CUSTOMER_SERVICE 2 8,9
di saat ingin membuka pertemuan melalui telepon anda aku agak sedikit lemott	6,7 CUSTOMER_SERVICE 2 -1,-1
lambat sangat tidak ada intropeksi dan perbaikan	-1,-1 APP_PERFORMANCE 0 0,1
sering error	-1,-1 APP_PERFORMANCE 0 0,2
dash board tidak menarik	-1,-1 UI_UX_DESIGN 0 3,4
bank paling buruk	-1,-1 FEATURES_PRODUCT 0 2,3
terimakasih untuk pembaruan aplikasinya	2,3 APP_PERFORMANCE 2 -1,-1
sudah tidak keluar sendiri lagi	2,4 APP_PERFORMANCE 2 2,4
itu data ktp saya sudah sesuai tidak bisa bisa juga jadinya	2,3 ONBOARDING_KYC 0 6,8
hanya aplikasi nya berat sangat	-1,-1 APP_PERFORMANCE 1 3,4
jaringan penuh tidak seperti mbanking bank lain yang mudah dan tidak berat	-1,-1 UI_UX_DESIGN 2 8,9
lemott parah	-1,-1 FEATURES_PRODUCT 0 1,2
lupa password bahkan disuruh isi kode captcha lebih dari 10x	0,2 AUTH_ACCESS 0 -1,-1
pelayananannya sangat bagus	-1,-1 FEATURES_PRODUCT 2 1,3
cepat dan responsif pelayanan nya ramah	3,4 CUSTOMER_SERVICE 2 0,1
aplikasi dongo mau buka rekening gagal terus	3,5 ONBOARDING_KYC 0 5,6
tidak rekomen kalau mau daftar online	4,5 ONBOARDING_KYC 0 -1,-1
developernya buruk aplikasi berat	-1,-1 APP_PERFORMANCE 0 1,2
masa bisa sih bank gede begini aplikasi jaman dulu dan cacat buruk	-1,-1 FEATURES_PRODUCT 0 11,12
dibilang internet lambat tidak juga	-1,-1 APP_PERFORMANCE 0 2,3
sekenceng apapun bahkan pakai os paling barupun aplikasi selalu tidak responsif	-1,-1 CUSTOMER_SERVICE 0 9,11
mencet 1 tombol harus menunggu 3 - 4 detik baru kepencet	2,3 UI_UX_DESIGN 0 -1,-1
delaynya buruk nih aplikasi permata	-1,-1 FEATURES_PRODUCT 0 1,2
gakada niatan pembaruan aplikasi mencari grup itu yang bisa atasin ini begitu	2,3 APP_PERFORMANCE 0 -1,-1
kalau gaji gue tidak masuk bank permata	3,5 TRANSACTION_TRANSFER 0 3,5
ogah sangat gue pakai nih pertemuan melalui telepon anda mbangking	7,8 CUSTOMER_SERVICE 0 -1,-1
lambat buruk	-1,-1 APP_PERFORMANCE 0 1,2
mantaf nah baru nih aplikasi kencengan tidak lambat lagi seperti kemarin kemarin	-1,-1 APP_PERFORMANCE 2 7,8
kalau bukan karena pekerjaan tidak mau sangat pakai aplikasi busuk aneh setiap login pasword salah harus di reset terus	12,13 AUTH_ACCESS 0 -1,-1
sudah memasuki password yang benar di tambah keluar sedikit suruh memasuki password lagi ah aplikasi minus	2,3 AUTH_ACCESS 0 -1,-1
aplikasi lemot	-1,-1 APP_PERFORMANCE 0 1,2
kualitas makin buruk	-1,-1 FEATURES_PRODUCT 0 1,3
setelah di pembaruan mbanking nya jadi cepat	2,3 APP_PERFORMANCE 2 6,7
bagus bagus	-1,-1 FEATURES_PRODUCT 2 0,1
kali ini aku kasih bintang 3 deh semenjak ada pembaruan terbaru	9,10 APP_PERFORMANCE 1 -1,-1
aplikasi nya sudah lebih responsif dari sebelumnya	-1,-1 FEATURES_PRODUCT 2 4,5
soal kecepatan sudah ada peningkatan	1,2 APP_PERFORMANCE 1 -1,-1
masa data saya ada yang login login sih	5,6 AUTH_ACCESS 0 -1,-1
aplikasi lemot	-1,-1 APP_PERFORMANCE 0 1,2
gangguan terus	0,1 APP_PERFORMANCE 0 -1,-1
aplikasi mobile banking paling ribet	-1,-1 UI_UX_DESIGN 0 4,5
lelet	-1,-1 APP_PERFORMANCE 0 0,1
tidak berguna	-1,-1 FEATURES_PRODUCT 0 0,2
tiap mau login pasti bikin pin baru	2,3 AUTH_ACCESS 0 -1,-1	5,6 AUTH_ACCESS 0 -1,-1
sudah registrasi pembuatan rekening saat login bahkan belum terdaftar	1,2 ONBOARDING_KYC 2 -1,-1	5,6 AUTH_ACCESS 2 -1,-1
ini minusnya lambat sangat aplikasinya	-1,-1 APP_PERFORMANCE 0 2,3
ini sudah jaringan paling bagus	-1,-1 FEATURES_PRODUCT 2 4,5
plusnya itu kalau transfer gratis	3,4 TRANSACTION_TRANSFER 2 4,5
dan mohon dijelaskan juga penyebab saldo aku berkurang	5,6 NOTIFICATION_INFO 0 7,8
mau transfer tidak bisa	1,2 TRANSACTION_TRANSFER 0 2,4
kecewa buruk sih	-1,-1 FEATURES_PRODUCT 0 0,1
tolong untuk pengembang nya aplikasi nya ini diperbaikin kerja woy kerja jangan diabaikan yang seperti gini	-1,-1 CUSTOMER_SERVICE 2 12,13
masak iya bayar pajak sampai 36	3,4 FEES_CHARGES 0 -1,-1
00 per bulan ini bagaimana sudah saldo saya di sedo terus menyesal saya pakai nih	6,7 NOTIFICATION_INFO 0 11,12
masa transfer tidak bisa2	1,2 TRANSACTION_TRANSFER 0 -1,-1
saldo tidak cukup melulu tidak jlas	0,1 NOTIFICATION_INFO 0 -1,-1
byar qris tidak bisa cacat	1,2 TRANSACTION_TRANSFER 0 2,4
berat sangat menjalani aplikasi ini	-1,-1 APP_PERFORMANCE 0 0,1
sekedar mengetik mau login saja delay nya tidak ketulungan	3,4 AUTH_ACCESS 0 -1,-1
catatan internet aku lancar banget	-1,-1 FEATURES_PRODUCT 2 3,4
kamu kan sudah perbankan kenapa bikin aplikasi saja tidak bisa	-1,-1 FEATURES_PRODUCT 0 8,10
buruk sangat ini sekarang mobile permata	-1,-1 FEATURES_PRODUCT 0 0,1
loadingy sangat lemot	-1,-1 APP_PERFORMANCE 0 2,3
sampai - sampai setiap ku mu transaksi belanja ta batalin	6,7 TRANSACTION_TRANSFER 0 -1,-1
qris tinggal scan	0,1 TRANSACTION_TRANSFER 0 -1,-1
pin okey	0,1 AUTH_ACCESS 0 -1,-1
dari mu buka az loading	4,5 APP_PERFORMANCE 0 -1,-1
menawari dana sigap dan kita	-1,-1 CUSTOMER_SERVICE 2 2,3
tidak pernah di acc	-1,-1 FEATURES_PRODUCT 0 0,2
kalau tidak punya dana untuk kasih pinjaman kaggk perlu bolak balik nawarin	6,7 FEATURES_PRODUCT 0 -1,-1
mana aplikasi mbankingnya super2 lambat	-1,-1 APP_PERFORMANCE 0 4,5
gak bisa mana katanya perangkat tidak mendukung kecewa	4,5 AUTH_ACCESS 2 7,8
pelayanan nya cepat	0,1 CUSTOMER_SERVICE 2 2,3
pelayanan nya ramah	0,1 CUSTOMER_SERVICE 2 2,3
aplikasi buruk lambat banget	-1,-1 APP_PERFORMANCE 0 1,2
jaringan stabil	-1,-1 FEATURES_PRODUCT 1 1,2
mau apa - apa lambat sangat ini aplikasi	-1,-1 APP_PERFORMANCE 0 4,5
regenerasi nomor saja sulit tolong perbaik kin	-1,-1 FEATURES_PRODUCT 0 3,4
cobalah untuk maksimalkan pelayanan nya sudah atm nya sedikit aplikasi tidak bisa masuk kesal sekarang banking nya tidak bisa di buka heran mobile banking nya di saat ada keperluan mendesak bahkan tidak bisa sama sekali kalau bukan karena payrol tidak akan mau pakai pertemuan melalui telepon anda	45,46 CUSTOMER_SERVICE 0 -1,-1	3,4 CUSTOMER_SERVICE 0 -1,-1	6,7 TRANSACTION_TRANSFER 0 10,12
pertemuan melalui telepon anda mobile kali melakukan pemeliharaan di saat waktu yang tidak tepat	7,8 APP_PERFORMANCE 0 13,14
disaat jam sibuk mau bertransaksi bahkan tidak bisa masuk aplikasi karena maintenance	11,12 APP_PERFORMANCE 0 6,8
masih ada saldo	2,3 NOTIFICATION_INFO 0 -1,-1
untuk transaksi transfer sama qris gabisa	1,2 TRANSACTION_TRANSFER 0 -1,-1	2,3 TRANSACTION_TRANSFER 0 -1,-1	4,5 TRANSACTION_TRANSFER 0 -1,-1
apk bank paling buruk di antara bank yang lain	-1,-1 FEATURES_PRODUCT 0 3,4
lemot buruk tidak enak sangat ini aplikasi	-1,-1 APP_PERFORMANCE 0 0,1
maaf b1 tidak bisa pindah device selalu bilang id dan password salah	10,11 AUTH_ACCESS 0 -1,-1
pindah device supaya tidak lambat saja eh	-1,-1 APP_PERFORMANCE 2 4,5
apk tidak jelas	-1,-1 FEATURES_PRODUCT 0 1,3
bukannya busa membantu aplikasi ini bahkan nyusahin	-1,-1 FEATURES_PRODUCT 2 2,3
ini pertemuan melalui telepon anda kenapa ya	3,4 CUSTOMER_SERVICE 0 -1,-1
saya mau kirim ke dana kok tidak bisa	-1,-1 FEATURES_PRODUCT 0 6,8
tulisannya saldo tidak mencukupi tdhl aku baru dapat kiriman masa di cek pun saldo nya ada	1,2 NOTIFICATION_INFO 0 -1,-1
lemot	-1,-1 APP_PERFORMANCE 0 0,1
butuh ponsel apa untuk akses cepat kira kira	-1,-1 FEATURES_PRODUCT 1 5,6
tidak bisa logistik ini sama sekali	-1,-1 FEATURES_PRODUCT 0 0,2
pengguna id sama password nya benar semua aneh	3,4 AUTH_ACCESS 0 -1,-1
kalau bukan karena daftar ajaib tidak akan pakai ini bank bobrok	3,4 ONBOARDING_KYC 2 -1,-1
lambat buruk sih ini	-1,-1 APP_PERFORMANCE 0 1,2
mutasi penarikan juga tidak up - to - date	0,1 NOTIFICATION_INFO 0 -1,-1	1,2 TRANSACTION_TRANSFER 0 -1,-1
di aplikasi pertemuan melalui telepon anda aku mutasinya belum berubah	4,5 CUSTOMER_SERVICE 0 -1,-1
wifi di rumah aman	-1,-1 SECURITY_FRAUD 2 3,4
tanpa ada kendala	-1,-1 FEATURES_PRODUCT 1 2,3
lambat banget	-1,-1 APP_PERFORMANCE 0 0,1
tolong segera diperbaiki pertemuan melalui telepon anda untuk kenyamanan nasabah	5,6 CUSTOMER_SERVICE 0 -1,-1
gangguan melulu	0,1 APP_PERFORMANCE 0 -1,-1
sama password	1,2 AUTH_ACCESS 0 -1,-1
sudah bagus sama benar semua	-1,-1 FEATURES_PRODUCT 2 1,2
kalau dari pekerjaan tidak mewajibkan untuk pakai pertemuan melalui telepon anda aku lebih baik pakai aplikasi bank lainnya yang lebih lancar dan tidak selalu error	9,10 CUSTOMER_SERVICE 2 -1,-1
pendaftaran kartu kredit pinjaman tidak pernah acc	0,1 ONBOARDING_KYC 0 -1,-1	1,3 TRANSACTION_TRANSFER 0 -1,-1	3,4 FEATURES_PRODUCT 0 4,6
lebih baik menghilangkan saja fitur pinjamanya pengajuan kartu kredit	4,5 FEATURES_PRODUCT 0 -1,-1	6,7 ONBOARDING_KYC 0 -1,-1
kondisi urgent bahkan tidak bisa transaksi	5,6 TRANSACTION_TRANSFER 0 3,5
aplikasi kamu itu lambat berat di aksesnya	-1,-1 APP_PERFORMANCE 0 3,4
perbaiki	-1,-1 FEATURES_PRODUCT 0 0,1
restart ponsel lah	0,1 APP_PERFORMANCE 0 -1,-1
dulu pas masih kuning lancar lho sekarang jadi biru bahkan berat	-1,-1 APP_PERFORMANCE 1 4,5
rumit banget	-1,-1 UI_UX_DESIGN 0 0,1
user id lupa dan nomor ponsel hilang	-1,-1 FEATURES_PRODUCT 0 6,7
telepon telpon center di bikin rumit sangat datanya	0,1 CUSTOMER_SERVICE 0 5,6
tiap transaksi masuk notifikasi email ini	1,2 TRANSACTION_TRANSFER 0 -1,-1	3,4 NOTIFICATION_INFO 0 -1,-1
tidak seperti bank lain nik ktp	4,5 ONBOARDING_KYC 0 -1,-1	5,6 ONBOARDING_KYC 0 -1,-1
sop itu data yang mudah di ingat pengguna	-1,-1 UI_UX_DESIGN 1 4,5
bukan yang lama di koreksi harus rinci	-1,-1 FEATURES_PRODUCT 1 2,3
aplikasi aneh masa tidak bisa transfer	5,6 TRANSACTION_TRANSFER 0 3,5
saldo masih ada untuk untuk pakai qris atau virtual akun tidak bisa ganguan terus aplikasi nya buruk banget	0,1 NOTIFICATION_INFO 0 -1,-1	6,7 TRANSACTION_TRANSFER 0 10,12
ini aplikasi sama banking tolong di perbaiki	-1,-1 FEATURES_PRODUCT 0 6,7
aplikasi sama banking paling lemot	-1,-1 APP_PERFORMANCE 0 4,5
tahu 2 suruh login lagi	3,4 AUTH_ACCESS 2 -1,-1
lupa pengguna password otp lewat sms	2,3 AUTH_ACCESS 2 -1,-1	3,4 AUTH_ACCESS 2 -1,-1
aplikasi yang aneh masa berkali2 harus reset password trs	6,8 AUTH_ACCESS 0 -1,-1
sudah pernah registrasi	2,3 ONBOARDING_KYC 0 -1,-1
setahun berapa kali ganti password	4,5 AUTH_ACCESS 0 -1,-1
bank besar kok aplikasi kacauu	-1,-1 FEATURES_PRODUCT 1 1,2
aplikasi tidak layak	-1,-1 FEATURES_PRODUCT 0 2,3
rating mu itu sudah anjlok parah	-1,-1 FEATURES_PRODUCT 0 5,6
reset password tidak bisa2 buruk pertemuan melalui telepon anda	0,2 AUTH_ACCESS 2 -1,-1	7,8 CUSTOMER_SERVICE 2 4,5
lambat sangat walupun pakai device terbaru masih sama saja	-1,-1 APP_PERFORMANCE 0 0,1
l pertemuan melalui telepon anda bank	3,4 CUSTOMER_SERVICE 0 -1,-1
aplikasi lambat dan delay	-1,-1 APP_PERFORMANCE 0 1,2
ini mah sistemnya sulit dipahami	-1,-1 FEATURES_PRODUCT 0 3,4
atm langka selangka berlian	0,1 TRANSACTION_TRANSFER 0 -1,-1
tidak bisa bisa buka aplikasi ini	-1,-1 FEATURES_PRODUCT 0 0,2
aplikasi lambat sudah 1 tahun pakai masih saja lemot	-1,-1 APP_PERFORMANCE 0 8,9
permudah nasabah dalam registrasi di aplikasi jangan di bikin rumit	3,4 ONBOARDING_KYC 2 9,10
refuse dana aku sudah status pending dari kemarin	-1,-1 TRANSACTION_TRANSFER 0 5,6
dana balik daripda kaya begini dana terpotong	-1,-1 FEES_CHARGES 0 6,7
tidak digunakan beberapa lama baru masuk waktu out	-1,-1 FEATURES_PRODUCT 1 3,4
rumit pokoknya	-1,-1 UI_UX_DESIGN 0 0,1
tolong notifikasi terima uang dipercepat	1,2 NOTIFICATION_INFO 0 -1,-1
bisa untuk ribut nih dengan pelanggan kecewa	-1,-1 FEATURES_PRODUCT 0 6,7
kalau mengasih penawaran promo dan tidak di disetujui lebih baik tidak perlu yaa	3,4 PROMO_MARKETING 0 -1,-1
sudah jelas uang masuk setiap tanggal berapa dan tahu historical karyawan tersebut tetap atau kontrak	-1,-1 FEATURES_PRODUCT 1 1,2
lemot	-1,-1 APP_PERFORMANCE 0 0,1
apdate bagaimana jaringan bagus tetap tidak masuk masuk	5,7 TRANSACTION_TRANSFER 0 5,7
mau login saja sulit	1,2 AUTH_ACCESS 0 3,4
kenapa mbangking sering error cek rekening tampilan saldo suka kosong enggak ada nomor rekening sering tidak terlihat	6,7 UI_UX_DESIGN 0 2,4	7,8 NOTIFICATION_INFO 2 8,9	12,14 ACCOUNT_MANAGEMENT 1 -1,-1
sekarang tidak bisa di tarik sampai 0	-1,-1 FEATURES_PRODUCT 0 1,3
malu sih iya lagi mengantri qr nya lambat banget sampai di marahi orang belakang yang lagi ngantri	-1,-1 APP_PERFORMANCE 0 7,8
saran aku tarik tunai saja langsung biar bayar cash saja	2,4 TRANSACTION_TRANSFER 2 -1,-1
aplikasi nya sudah bagus simple	-1,-1 FEATURES_PRODUCT 2 3,4
aplikasi lemot	-1,-1 APP_PERFORMANCE 0 1,2
notifikasi lama tidak langsung masuk kecewa	0,1 NOTIFICATION_INFO 1 5,6
loading lama lambat perbaiki dong	0,1 APP_PERFORMANCE 0 0,2
sudah bintang 5 kok tidak bisa di buka	-1,-1 FEATURES_PRODUCT 0 4,6
layanan jelek	0,1 FEATURES_PRODUCT 0 1,2
menyulitkan transfer gagal terus	1,2 TRANSACTION_TRANSFER 0 2,3
masih ada saldo	2,3 NOTIFICATION_INFO 0 -1,-1
beli token listrik kok tifak muncul nomer stroom tokennya	2,3 TRANSACTION_TRANSFER 1 -1,-1
saldo sudah terpotong 100rb tambah administrasi	0,1 NOTIFICATION_INFO 0 2,3	5,6 FEES_CHARGES 0 -1,-1
sering gangguan	1,2 APP_PERFORMANCE 0 -1,-1
terlalu lambat	-1,-1 APP_PERFORMANCE 0 1,2
pertemuan melalui telepon anda ini paling lambat dan butuh kesabaran	2,3 CUSTOMER_SERVICE 0 6,7
semoga kedepannya lebih cepat lagi	-1,-1 FEATURES_PRODUCT 1 3,4
malas sangat sekarang sudah tidak efisien seperti dulu	-1,-1 FEATURES_PRODUCT 0 5,6
mau login juga lama sangat kebijakanya juga tidak bijak untuk yang punya penghasilan rendah adminnya jangan banyak - banyak 10 ribu saja terima kasih sedih	1,2 AUTH_ACCESS 0 3,4
sekarang kok begini ya setiap mindahin saldo dari pertemuan melalui telepon anda ke bank lain sering nyangkut kadang enggak masuk ke rekening lainnya mohon diperbaiki	6,7 NOTIFICATION_INFO 0 -1,-1	10,11 CUSTOMER_SERVICE 0 -1,-1
aku tidak pernah melakukan pinjam terhadap aplikasi ini	-1,-1 FEATURES_PRODUCT 0 1,3
dan di slik aku muncul tagihan dari aplikasi ini	5,6 TRANSACTION_TRANSFER 0 -1,-1
aku tolak keras terhadap pencurian data aku	4,5 SECURITY_FRAUD 0 -1,-1
sama bangking buruk banget	-1,-1 FEATURES_PRODUCT 0 2,3
lambat suka ngeheng	-1,-1 APP_PERFORMANCE 0 0,1
aplikasi lemot	-1,-1 APP_PERFORMANCE 0 1,2
tampilan berantakan interface campur campur	0,1 UI_UX_DESIGN 0 -1,-1
kalau bukan karena tuntunan pekerjaan tidak akan ku unduh ini aplikasi buruk buruk	-1,-1 FEATURES_PRODUCT 0 11,12
sampai kapan gangguan terus saya tidak bisa transfer uang	2,3 APP_PERFORMANCE 0 -1,-1	7,8 TRANSACTION_TRANSFER 0 5,7
sudah sering pembaruan	2,3 APP_PERFORMANCE 0 -1,-1
tampilan tetap lemot	0,1 UI_UX_DESIGN 0 2,3
koneksi internet aku aman tidak ada kendala	-1,-1 SECURITY_FRAUD 2 3,4
lagging nya makin parah	-1,-1 FEATURES_PRODUCT 0 3,4
berat banget	-1,-1 APP_PERFORMANCE 0 0,1
kok lambat sangat ya	-1,-1 APP_PERFORMANCE 0 1,2
responnya sangat lambat bahkan sampai lama nunggunya	-1,-1 APP_PERFORMANCE 0 1,3
kalau tidak terlanjur pakai atm ini	4,5 TRANSACTION_TRANSFER 0 -1,-1
ini makin lemot	-1,-1 APP_PERFORMANCE 0 2,3
lemotnya hilang	-1,-1 FEATURES_PRODUCT 0 1,2
mau mengatur login pakai sidik jari saja tidak bisa - bisa	2,3 AUTH_ACCESS 0 -1,-1	4,6 AUTH_ACCESS 0 7,9
harusnya sering pembaruan aplikasi	2,3 APP_PERFORMANCE 0 -1,-1
tidak bisa login	0,3 AUTH_ACCESS 0 0,2
gangguan tiba - tiba tidak bisa transfer ke bank lain atau virtual account ke dana gagal terus	0,1 APP_PERFORMANCE 0 -1,-1	6,7 TRANSACTION_TRANSFER 0 4,6	11,13 TRANSACTION_TRANSFER 0 15,16
payah	-1,-1 FEATURES_PRODUCT 0 0,1
hanya bisa lihat saldo saja tidak bisa di pake	3,4 NOTIFICATION_INFO 0 5,7
pertemuan melalui telepon anda tahi	2,3 CUSTOMER_SERVICE 0 -1,-1
aplikasi sampah	-1,-1 FEATURES_PRODUCT 0 1,2
gak bisa login	2,3 AUTH_ACCESS 0 -1,-1
ngecek pengguna id kode respon sms menunggu 5 menit tidak ada sms	4,5 CUSTOMER_SERVICE 0 -1,-1
pulsa ada	0,1 TRANSACTION_TRANSFER 0 -1,-1
cm bank pertemuan melalui telepon anda yang aplikasi m - banking sesampah ini	4,5 CUSTOMER_SERVICE 0 -1,-1
suruh langsung ke cabang terdekat	3,4 ACCOUNT_MANAGEMENT 0 -1,-1
saran dari aku kalau gaji kamu lewat bank pertemuan melalui telepon anda lebih baik langsung transfer lagi bank lain	15,16 TRANSACTION_TRANSFER 0 -1,-1
drpd transaksi ada terganggu	1,2 TRANSACTION_TRANSFER 0 -1,-1
weii ini kenapa mau pembayaran virtual tidak bisa terus bilang saldo tidak mencukupi	4,5 TRANSACTION_TRANSFER 0 6,8	10,11 NOTIFICATION_INFO 0 -1,-1
tetap gagal	-1,-1 APP_PERFORMANCE 0 1,2
tolong perbaiki dong	-1,-1 FEATURES_PRODUCT 0 1,2
kenapa kok sekarang tambah lambat ya	-1,-1 APP_PERFORMANCE 0 4,5
mau melakukan transaksi saja error terus	2,3 TRANSACTION_TRANSFER 0 4,5
kecewa	-1,-1 FEATURES_PRODUCT 0 0,1
setiap mau masuk gangguan 003 ini bank tidak niat bener	3,4 APP_PERFORMANCE 0 -1,-1
fixkan lah terus kalau mau meminta solusi telepon harus bayar	7,8 CUSTOMER_SERVICE 1 6,7
aplikasi yang sangat menyusahkan pengguna nya	-1,-1 FEATURES_PRODUCT 0 3,4
dari kemarin transaksi tidak bisa alasan gagal error	2,3 TRANSACTION_TRANSFER 2 3,5
aku hubungi pusat bantuan	3,4 CUSTOMER_SERVICE 0 -1,-1
tidak di respon hadehh	2,3 CUSTOMER_SERVICE 0 -1,-1
tidak bisa digunakan aplikasi ini di ponsel tecno	-1,-1 FEATURES_PRODUCT 0 0,2
yang jelas merugikan	-1,-1 FEATURES_PRODUCT 0 2,3
lelet	-1,-1 APP_PERFORMANCE 0 0,1
banyak saldo mendem	1,2 NOTIFICATION_INFO 0 -1,-1
tahu hilang terpotong apa	-1,-1 FEES_CHARGES 0 1,2
aplikasi lambat saya buka mbanking bank rakyat indonesia sama seabank cepat tidak ngeleg buka aplikasi ini mau mindahin uang dari jam 16 sampai sekarang jam 18 belum bisa dibuka tombol transfer kagak bisa dipencet	29,30 UI_UX_DESIGN 0 26,28	30,31 TRANSACTION_TRANSFER 0 -1,-1
sangat lambat aplikasinya	-1,-1 APP_PERFORMANCE 0 0,2
mau login tidak bisa	1,2 AUTH_ACCESS 0 2,4
sering tidak bisa dibuka hanya sampai logo pertemuan melalui telepon anda saja	1,4 APP_PERFORMANCE 0 1,3	9,10 CUSTOMER_SERVICE 0 -1,-1
pertemuan melalui telepon anda aku paling ribet	2,3 CUSTOMER_SERVICE 0 6,7
berat buruk apk	-1,-1 APP_PERFORMANCE 0 1,2
bikin malu kalau transaksi karena lama	3,4 TRANSACTION_TRANSFER 0 5,6
lapor ke customer service terkait aplikasi loading lama	2,4 CUSTOMER_SERVICE 0 -1,-1	6,7 APP_PERFORMANCE 0 6,8
disuruh buka setengah jam sebelum transaksi	5,6 TRANSACTION_TRANSFER 0 -1,-1
data sudah benar di bilang data tidak sesuai bagaimana ini	-1,-1 FEATURES_PRODUCT 0 6,8
jujur aplikasi lambat sangat sering eror	-1,-1 APP_PERFORMANCE 0 5,6
meminta tolong pihak pertemuan melalui telepon anda segera benahi	5,6 CUSTOMER_SERVICE 1 -1,-1
1 ini buruk sangat	-1,-1 FEATURES_PRODUCT 0 2,3
aplikasi sangat lag dan tidak bisa dibuka	2,3 APP_PERFORMANCE 0 -1,-1	4,7 APP_PERFORMANCE 0 4,6
jaringan lancar	-1,-1 FEATURES_PRODUCT 2 1,2
aplikasi enggak jelas masa tiap login harus ganti pasword melulu	5,6 AUTH_ACCESS 1 2,3
aplikasi lambat sangat dan tidak direkomendasikan benar benar gaa	-1,-1 APP_PERFORMANCE 0 4,6
kalau ditawarin asuransi jiwa tidak perlu di accept karena almarhum teman aku tidak bisa claim benar benar dipersulitt	2,3 FEATURES_PRODUCT 0 -1,-1
buruk aplikasi tidak guna	-1,-1 FEATURES_PRODUCT 0 0,1
iklan di mana mana giliran donload	0,1 PROMO_MARKETING 0 -1,-1
malahan terlalu bagus 2	-1,-1 FEATURES_PRODUCT 2 2,3
semakin kesini kok bukan improve bahkan tambah jelek	-1,-1 FEATURES_PRODUCT 0 7,8
tambahkan fitur pembayaran bpjstk bpu bagus atas e - money mandiri	1,2 FEATURES_PRODUCT 2 -1,-1	2,3 TRANSACTION_TRANSFER 2 5,6
tidak direkomendasikan sangat aplikasi nya	-1,-1 FEATURES_PRODUCT 0 0,2
fi itu pun sangat sangat lambat	-1,-1 APP_PERFORMANCE 0 4,6
tidak mau koneksi pakai paket data	4,6 TRANSACTION_TRANSFER 0 -1,-1
sekdar menyarankan sih kalau masuk pakai pin mobile nya aja	6,7 AUTH_ACCESS 1 -1,-1
biar tidak rumit harus pencet login melulu	5,6 AUTH_ACCESS 2 2,3
lambat banget	-1,-1 APP_PERFORMANCE 0 0,1
login lama	0,1 AUTH_ACCESS 0 1,2
sering loading terus	1,2 APP_PERFORMANCE 0 1,3
kadang gangguan saat dibutuhkan	1,2 APP_PERFORMANCE 0 -1,-1
mau transaksi jadi was - was karena aplikasi tidak responsif	1,2 TRANSACTION_TRANSFER 0 8,10
tolong diperbaiki	-1,-1 FEATURES_PRODUCT 0 0,2
karena aplikasi bank seharusnya cepat dan dapat diandalkan	-1,-1 FEATURES_PRODUCT 1 4,5
asalamualaikum yeh kami mengasih bintang 5 yang penting kita menyimpan uang aman nyata dan tidak ada potongan	16,17 FEES_CHARGES 2 11,12
aplikasi lambat kita masih bisa bertransaksi uang keluar masuk lewat atm	10,11 TRANSACTION_TRANSFER 0 -1,-1
atm nya jarang ada kita ambil duwit bahkan tidak atri	0,1 TRANSACTION_TRANSFER 2 -1,-1
semoga aplikasi pertemuan melalui telepon anda m	4,5 CUSTOMER_SERVICE 2 -1,-1
aku baru mau daftar enggak tau caranya mohon di bantu	3,4 ONBOARDING_KYC 2 -1,-1
aplikasi tidak jelas pengajuan tidak jelas tidak ada alasan di tolak karena apa mempersulit masyarakat yang ingin bermodal usaha	3,4 ONBOARDING_KYC 0 4,6
tampilan tidak bisa menggunakan sikap untuk kembali ke menu sebelumnya kembali saat sudah login ke akun	0,1 UI_UX_DESIGN 0 1,3	8,9 UI_UX_DESIGN 0 -1,-1	13,14 AUTH_ACCESS 0 -1,-1
aplikasi dan sistem bank buruk	-1,-1 FEATURES_PRODUCT 0 4,5
kadang transfer ke bank lain bahkan disuruh menunggu	1,2 TRANSACTION_TRANSFER 0 -1,-1
pengalaman bagus pakai pertemuan melalui telepon anda	5,6 CUSTOMER_SERVICE 2 1,2
gambar nya pas mau login kakak seperti cowok boti	4,5 AUTH_ACCESS 2 -1,-1
